Issue Type,Issue key,Issue id,Summary,Created,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Status,Priority,Custom field (Epic Name),Assignee
Bug,EW-1068,852791,EPG navigation header is not sticky,2023-08-02 11:54,Web,,,,,,,Done,3 - Medium,,M93417
Bug,EW-1067,852429,Not able to remove devices from device management,2023-07-31 10:08,Web,,,,,,,Done,1 - Critical,,
Bug,EW-1066,852250,Smart TV - Scrubbing rights  - I am able to scrub in TV3 when I start the program over,2023-07-28 11:19,Smart TV,,,,,,,In Progress,2 - High,,M94083
Bug,EW-1065,852192,Smart TV - The app is freezing,2023-07-27 15:03,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-1064,852184,Smart TV - pointer mode - stream should not stop when pressing back button on remote while pointer mode is enabled,2023-07-27 13:47,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1063,852183,Smart TV - Pointer mode - player overlay and Mine tv-kanaler,2023-07-27 13:44,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1062,852174,Smart TV - progress on live is missing. ,2023-07-27 13:01,Smart TV,,,,,,,To Do,3 - Medium,,
Bug,EW-1061,852173,Smart TV - Start over - title of program is not showing and on LG we show Min bio logo on DR1,2023-07-27 12:50,,,,,,,,Done,2 - High,,M86720
Bug,EW-1060,852172,Smart TV - LG logo - old logo shows first before the new logo. ,2023-07-27 12:42,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-1058,852170,Smart TV - pointer mode in the epg - focus is lost,2023-07-27 12:24,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-1057,852160,Smart TV - app freezes after pressing vis alle on Mest sete på tv,2023-07-27 11:35,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-1056,852159,Smart TV - Pagelinks headlines are all double,2023-07-27 11:29,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-1055,852156,Smart TV - Months are shown in english,2023-07-27 11:18,Smart TV,,,,,,,Won't fix,4 - Low,,
Bug,EW-1038,852065,Web - chromecast - binge doesn't work,2023-07-26 10:55,Web,,,,,,,Done,2 - High,,A72562
Bug,EW-1037,852064,Web - Chromecast - series episode names doesn't update on the tv screen,2023-07-26 10:52,Web,,,,,,,Done,1 - Critical,,M93417
Bug,EW-1036,852063,Web - Chrome macOS - Chromecast - no picture only sound,2023-07-26 10:48,Web,,Chromecast,,,,,Won't fix,2 - High,,M93417
Bug,EW-1035,852015,Web - Windows - Chrome - No data in conviva,2023-07-25 15:00,Web,,,,,,,To Do,2 - High,,
Bug,EW-1034,852007,Web - live channel picker - programs doesn't update ,2023-07-25 13:50,Web,,,,,,,Done,3 - Medium,,A72562
Bug,EW-1033,851976,"Web Firefox - MacOS - If a program has a recording set, it gets a very big recording icon all over the synopsis",2023-07-25 11:03,Web,,,,,,,Done,2 - High,,A72562
