Issue Type,Issue key,Issue id,Summary,Created,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Status,Priority,Custom field (Epic Name),Assignee
Bug,EW-781,835829,CC: When try to play web url in new tab connected to CC and starts episode from begging ,2023-05-10 10:24,Web,,Chromecast,,,,,To Do,2 - High,,
Bug,EW-780,835671,STV - user is not able to pause VOD or archive,2023-05-09 13:22,Smart TV,,,,,,,Done,1 - Critical,,M94083
Bug,EW-779,835600,Web: SeTv - Player not open automatically  ,2023-05-09 11:40,Web,,Se-tv,,,,,To Do,4 - Low,,
Bug,EW-778,835594,Channel Picker - Not able to open from start over and archive,2023-05-09 11:24,Web,,Archive,channel_picker,StartOver,,,Done,2 - High,,M92841
Bug,EW-777,835407,STV - Live tv fails ,2023-05-08 14:17,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-775,835271,Web: Binge view is displayed even when playing the last episode of a series,2023-05-08 09:16,Web,,binge-watching,,,,,To Do,3 - Medium,,
Bug,EW-774,835268,Web: Binging on some tv shows does not work across seasons,2023-05-08 09:14,Web,,binge-watching,,,,,To Do,3 - Medium,,
Bug,EW-773,835042,Web: No mouesover text when user hovering over buttons and icons,2023-05-04 16:46,Web,,,,,,,To Do,4 - Low,,M93977
Bug,EW-772,835041,"Web: When user click the icon in Hamburger menu, the page should update",2023-05-04 16:39,Web,,,,,,,To Do,3 - Medium,,
Bug,EW-771,835003,Web: Can't delete single recording,2023-05-04 15:49,Web,,nPVR,recording,,,,To Do,3 - Medium,,
Bug,EW-770,835002,Web: Binging series content while in PIP breaks the player,2023-05-04 15:47,Web,,binge-watching,PIP,,,,To Do,3 - Medium,,
Bug,EW-769,834649,STV - live programs - remaining time left is not updating or is wrong,2023-05-03 11:34,Smart TV,,,,,,,Done,2 - High,,A72562
Bug,EW-768,834365,STV - Go to live button in the player is not working,2023-05-02 11:48,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-767,834360,STV - assets are showing wrong time on live channels and then no programs can't be played,2023-05-02 11:36,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-766,834322,STV - error is shown when trying to open synopsis on series or my page,2023-05-02 10:12,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-765,834311,STV - login screen - null error when entering wrong username or password,2023-05-02 10:00,Smart TV,,,,,,,Done,2 - High,,M88508
Bug,EW-764,833435,Smart TV: Live tv - Live tv should start playing directly in some scenarios,2023-04-27 12:16,Smart TV,,,,,,,To Do,4 - Low,,
Bug,EW-762,833185,STV - device management - error when trying to play live after removing device from list,2023-04-26 11:54,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-761,833127,Smart TV: Player - Info button sends the user back to synopsis,2023-04-26 09:53,Smart TV,,,,,,,Won't fix,4 - Low,,A72562
Bug,EW-760,833125,Smart TV: Series - season selector won't show on Samsung 19,2023-04-26 09:47,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-759,832993,Channel page - Channel sorting makes the app freeze,2023-04-25 13:15,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-758,832974,"STV - If you log out of the app, you are not able to log in again",2023-04-25 11:51,Smart TV,,,,,,,Done,2 - High,,M88508
Bug,EW-757,832964,EPG - Not able to see Pop-up synopsis on hovering on container ,2023-04-25 11:13,Web,,EPG,,,,,Won't fix,3 - Medium,,
Bug,EW-756,832946,TV2 Ude - Not able to close message pop up using X button,2023-04-25 10:16,Web,,tv2ude,,,,,Done,2 - High,,M88508
Bug,EW-755,832923,Live TV - While playing strat over and live program ends starts new live program ,2023-04-25 09:31,Web,,livetv,StartOver,,,,Done,1 - Critical,,M93417
Bug,EW-754,832450,Smart TV: Device management - Time is misisng,2023-04-24 14:41,Smart TV,,,,,,,Done,4 - Low,,M88508
Bug,EW-753,832445,Smart TV: Series - not able to enter synopsis for some series,2023-04-24 14:32,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-752,832376,Smart TV: Start over fails and sound continues in the background,2023-04-24 11:30,Smart TV,,,,,,,Done,2 - High,,M92841
Bug,EW-751,832214,Channel shop: Not respecting errors from MixTV productSummary,2023-04-24 08:24,Channelshop,Web,,,,,,To Do,3 - Medium,,M88508
Bug,EW-750,832210,Channel shop: Not respecting shop closed on second click on tv.yousee.dk/indstillinger,2023-04-24 08:17,Channelshop,Web,ChannelShop,,,,,To Do,3 - Medium,,M88508
Bug,EW-749,832061,Smart TV: Player - Subtitles are wrong on some movies when danish is default,2023-04-21 14:33,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-748,832058,"STV - Search - When the keyboard is open in the search menu, the main menu is showing half",2023-04-21 14:02,Smart TV,,,,,,,Won't fix,4 - Low,,
Bug,EW-747,832056,Smart TV: Search - Search field should be cleared when you select another page in the menu,2023-04-21 13:54,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-746,832026,STV - navigation - First asset in focus can't be opened unless you navigate first,2023-04-21 13:23,Smart TV,,,,,,,Done,3 - Medium,,M86720
Bug,EW-745,832024,STV - navigation - First asset on the page should be in focus every time you enter a page,2023-04-21 13:18,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-744,832014,STV - series - not able to start a series from the series selector,2023-04-21 12:32,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-743,832006,STV - login page - weird behavior,2023-04-21 11:59,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-742,832005,STV - Wrong focus when you open the app,2023-04-21 11:57,Smart TV,,,,,,,Done,4 - Low,,
Bug,EW-741,832000,STV - opening the app gives endless spinner,2023-04-21 11:41,Smart TV,,,,,,,Done,1 - Critical,,M88508
Bug,EW-740,831894,STV - login page - text is missing and button is not green,2023-04-21 07:46,Smart TV,,,,,,,Done,2 - High,,M88508
Bug,EW-739,831829,ChromeCast -stop playback when try to navigate app while playing archive,2023-04-20 13:51,Web,,Archive,Chromecast,PIP,,,Done,3 - Medium,,M93417
Bug,EW-736,831720,Channel Picker - Not closes automatically when start playback,2023-04-20 10:42,Web,,channel_picker,,,,,Done,4 - Low,,M88508
Bug,EW-735,831494,Quality Selector not open automatically while open channel picker,2023-04-19 14:51,Web,,channel_picker,qualify_selector,,,,Done,4 - Low,,M88508
Bug,EW-734,831371,Concurrency - Chrome Cast stream not counting ,2023-04-19 10:36,Web,,Chromecast,Concurrency,,,,Done,2 - High,,M93417
Bug,EW-733,831078,Chrome Cast -Not able to see selected subtitle in subtitle menu ,2023-04-18 10:28,Web,,Chromecast,subtitles,,,,Done,2 - High,,M93417
Bug,EW-731,830935,ChromeCast - when try to change episode not play in CC,2023-04-17 15:52,Chromecast Receiver,Web,Chromecast,,,,,Done,1 - Critical,,M93417
Bug,EW-730,830488,Smart TV: design issues for EPG,2023-04-14 13:36,Smart TV,,,,,,,Test Failed,3 - Medium,,
Bug,EW-729,830449,STV - EPG - day selector gives endless spinner,2023-04-14 12:39,Smart TV,,,,,,,Done,2 - High,,M88508
Bug,EW-727,828495,Smart TV: UI on Channel page,2023-03-31 13:12,Smart TV,,,,,,,Won't fix,3 - Medium,,M93417
Bug,EW-726,828458,Smart TV: Design issues - Setting page,2023-03-31 11:35,Smart TV,,,,,,,To Do,4 - Low,,
Bug,EW-725,828452,STV - design issues - synopsis,2023-03-31 11:29,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-724,828451,Smart TV: UX - focus state shouldn't align,2023-03-31 11:26,Smart TV,,,,,,,Done,2 - High,,M101317
Bug,EW-723,828442,STV - design issues - Search ,2023-03-31 11:21,Smart TV,,,,,,,Done,2 - High,,A72562
Bug,EW-722,828438,Smart TV: UI adjustment to the side menu,2023-03-31 11:17,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-721,828433,Smart TV: UI adjustment to TV main page,2023-03-31 11:14,Smart TV,,,,,,,Review,2 - High,,M94083
Bug,EW-720,828425,Smart TV: Design issues - Login page,2023-03-31 11:08,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-719,828254,Web: Programs don't refresh data in live channel slings,2023-03-30 13:07,Web,,Live,slings,,,,To Do,3 - Medium,,
Bug,EW-718,828251,Player channel list open on series,2023-03-30 13:05,Web,,channel_picker,,,,,Done,2 - High,,
Bug,EW-717,828246,"Web: Error in TV-synopsis ""Udsendelser"" list",2023-03-30 12:52,Web,,Synopsis,,,,,To Do,4 - Low,,
Bug,EW-716,828245,Web: Subtitles on player,2023-03-30 12:51,Web,,Regression,,,,,To Do,4 - Low,,
Bug,EW-715,828244,English words in metadata in tv synopsis,2023-03-30 12:51,Web,,meta-data,,,,,Done,4 - Low,,M88508
Bug,EW-714,828242,live-tv-player :metadata do not update,2023-03-30 12:51,Web,,meta-data,player,,,,Done,2 - High,,M88508
Bug,EW-713,828241,Player controls missing,2023-03-30 12:50,Web,,PlayerControls,,,,,Done,1 - Critical,,M93417
Bug,EW-712,828240,Web: Rentals code input field edges clipped,2023-03-30 12:48,Web,,Rental,,,,,On hold,4 - Low,,
Bug,EW-711,828238,Binding in PIP mode breaks player,2023-03-30 12:48,Web,,PIP,,,,,Done,1 - Critical,,M93417
Bug,EW-710,828237,Web: Channel list has green background,2023-03-30 12:47,Web,,Channel_list,,,,,To Do,4 - Low,,
Bug,EW-709,828236,Web: Synopsis IMDb link,2023-03-30 12:44,Web,,Regression,,,,,To Do,4 - Low,,
Bug,EW-708,828233,Web: PIP closes when navigating the app,2023-03-30 12:43,Web,,PIP,,,,,To Do,3 - Medium,,
Bug,EW-707,828232,Synopsis archive list play button,2023-03-30 12:41,Web,,Regression,,,,,Done,2 - High,,M88508
Bug,EW-706,828231,Web: Doesn't delete all recordings,2023-03-30 12:40,Web,,nPVR,,,,,To Do,3 - Medium,,
Bug,EW-705,828230,Web: Can't stop single recording from synopsis,2023-03-30 12:39,Web,,nPVR,,,,,On hold,3 - Medium,,
Bug,EW-704,828224,Rentals. On terms and condition link click - black screen,2023-03-30 12:30,Web,,Regression,,,,,Done,1 - Critical,,M93417
Bug,EW-703,828216,Device management -> Delete all devices,2023-03-30 12:25,Web,,Regression,,,,,Done,2 - High,,M93417
Bug,EW-702,828214,Live tv picker stays open,2023-03-30 12:22,Web,,Live-TV,,,,,Done,1 - Critical,,M93417
Bug,EW-701,828213,Cancel binge jumps 2 episodes,2023-03-30 12:20,Web,,binge-watching,,,,,Done,3 - Medium,,M93417
Bug,EW-700,828211,Automatic binge to next episode,2023-03-30 12:14,Web,,,,,,,Done,1 - Critical,,M93417
Bug,EW-698,828070,STV - Not able to use the back button on the channel page when you enter a channel,2023-03-29 15:40,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-697,828058,STV - EPG - Future programs should not have a play button on synopsis,2023-03-29 15:25,Smart TV,,,,,,,Done,2 - High,,A72562
Bug,EW-696,828056,"STV - View EPG - Button ""Go to live"" is not working",2023-03-29 15:17,Smart TV,,,,,,,Done,2 - High,,M88508
Bug,EW-695,828051,STV - navigation - focus is missing on the first asset in the first row on tv main page,2023-03-29 15:05,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-694,828002,Smart TV: Menu - The time is wrong and the week day is on english,2023-03-29 14:37,Smart TV,,,,,,,Done,4 - Low,,M101317
Bug,EW-693,827982,STV - View synopsis - Not able to enter any synopsis on VOD Series,2023-03-29 14:26,Smart TV,,,,,,,Done,1 - Critical,,A72562
Bug,EW-692,827967,STV - Search for content - not possible to search for actors or instructors,2023-03-29 13:55,Smart TV,,,,,,,Done,3 - Medium,,A72562
Bug,EW-691,827961,STV - Search for content - error when trying to enter synopsis,2023-03-29 13:49,Smart TV,,,,,,,Done,1 - Critical,,A72562
Bug,EW-690,827935,STV - Search for content - headline is missing in search results,2023-03-29 13:14,Smart TV,,,,,,,Done,4 - Low,,
Bug,EW-689,827146,"Web: Pressing CTA on a ""Ikke i arkiv"" synopsis results in an empty pop-up box",2023-03-27 09:06,Web,,popup,Synopsis,,,,On hold,4 - Low,,
Bug,EW-688,826969,Application logout - http 401 on sts token call,2023-03-24 12:57,Web,,login,,,,,Done,1 - Critical,,M88508
Bug,EW-687,826631,Web: Short content in the EPG does not display all info on content blocks,2023-03-23 12:52,Web,,EPG,,,,,On hold,4 - Low,,
Bug,EW-686,826628,CC: Chromecast sender metadata not updating on live change ,2023-03-23 12:49,Web,,Chromecast-sender,meta-data,,,,On hold,4 - Low,,M93417
Bug,EW-685,826621,Chromecast sender UI displays info wrongly,2023-03-23 12:36,Web,,Chromecast-sender,,,,,Done,4 - Low,,M88508
Bug,EW-684,826561,Web: Playback auto-plays after removing device from device management list,2023-03-23 11:15,Web,,Device-management,trinity,,,,On hold,3 - Medium,,M93977
Bug,EW-683,826560,Wrong name in device management list for edge browser,2023-03-23 11:13,Web,,Device-management,trinity,,,,Done,4 - Low,,M94083
Bug,EW-682,826559,Not calling trinity when playback is started from a loaded synopsis,2023-03-23 11:06,Web,,Device-management,trinity,,,,Done,3 - Medium,,M88508
Bug,EW-681,826538,Not able to open rental or Recordings UI (see video),2023-03-23 10:44,Web,,Rental,Synopsis-pages,UI,,,Done,2 - High,,M88508
Bug,EW-679,825380,Web: Fallback playback fails,2023-03-20 11:01,Web,,Fallback,,,,,Won't fix,2 - High,,
Bug,EW-678,825345,Missing blocked stream Concurrency message,2023-03-20 10:05,Web,,Concurrency,,,,,Done,3 - Medium,,M93417
Bug,EW-677,825084,Not able to open rental flow from synopsis call to action,2023-03-17 11:33,Web,,Rental,Synopsis,,,,Won't fix,2 - High,,
Bug,EW-676,825075,PIP does not persist when navigating away from synopsis ,2023-03-17 11:14,Web,,PIP,,,,,Done,3 - Medium,,M93417
Bug,EW-675,825072,Entering PIP view during binge UI will move the binge UI infront of the PIP,2023-03-17 11:09,Web,,binge-watching,PIP,,,,Done,3 - Medium,,M93417
Bug,EW-674,823242,Not showing technical description on services,2023-03-10 10:51,Channelshop,,,,,,,Done,None,,M88508
Bug,EW-658,822777,Rental history menu does not fit rental text ,2023-03-09 09:35,,,Settings,UI,,,,Done,4 - Low,,M94083
Bug,EW-657,822772,Add/remove credit card button displays white background after pressing it,2023-03-09 09:29,Web,,Settings,,,,,Done,4 - Low,,M94083
Bug,EW-656,822759,Play button displayed on Upcoming and Rentals thumbnails in search,2023-03-09 09:19,Web,,search,thumbnails,,,,Done,4 - Low,,M94083
Bug,EW-655,822756,Channel Picker can't start playback,2023-03-09 09:12,Web,,channel_picker,,,,,Done,3 - Medium,,M88508
Bug,EW-654,822754,Channel Sorting not applied to the application,2023-03-09 09:09,Web,,channel_sorting,,,,,Done,3 - Medium,,M88508
Bug,EW-653,822717,Start-over on Web does not start the content from the beginning,2023-03-09 08:13,Web,,Player,startforfra,StartOver,,,Done,1 - Critical,,M93417
Bug,EW-652,822713,No Binge UI on series content,2023-03-09 07:38,Web,,binge-watching,UI,,,,Done,3 - Medium,,M93417
Bug,EW-651,822712,Payment UI checkboxes display wrongly,2023-03-09 07:25,Web,,Rental,,,,,Done,4 - Low,,M94083
Bug,EW-650,822220,Playback not starting when clicking play on an episode tile inside a series synopsis ,2023-03-07 13:48,Web,,series,Synopsis,,,,Done,3 - Medium,,M88508
Bug,EW-649,822167,Player crash on seeking,2023-03-07 12:25,Web,,Crash,Player,scrubbing,seeking,,Done,1 - Critical,,M93417
Bug,EW-648,822085,Wrong channel in EPG displays upsales message,2023-03-07 09:48,Web,,EPG,tv2ude,,,,Done,3 - Medium,,M88508
Bug,EW-647,822072,Wrong channels displayed in EPG,2023-03-07 09:40,Web,,Discovery,EPG,,,,Done,3 - Medium,,M88508
Bug,EW-646,822040,Failing to create/delete recordings,2023-03-07 08:59,Web,,nPVR,recordings,,,,Done,2 - High,,M88508
Bug,EW-644,821375,CC: Chromecast- playing stream not showing in cinema from some of the provider ,2023-03-03 15:40,Chromecast Receiver,,Chromecast,VOD,,,,To Do,3 - Medium,,M93417
Bug,EW-643,820653,Web: Not able to play content - Black screen after starting playback,2023-03-01 10:58,Web,,Playback,,,,,On hold,3 - Medium,,M93417
Bug,EW-642,820464,"Leaving a synopsis results in a ""Hovsa!"" screen",2023-02-28 15:51,Web,,Navigation,Synopsis,,,,Done,3 - Medium,,M88508
Bug,EW-640,819354,CC: User can scrub in tv2/tv3 with remote while chromecasting from android device. ,2023-02-23 13:51,Chromecast Receiver,,Chromecast-receiver,Scrubbing-Rights,,,,To Do,2 - High,,M93417
Bug,EW-639,819231,Disconnecting Chromecast playback starts local playback,2023-02-23 09:50,Web,,Chromecast-sender,Playback,,,,Done,2 - High,,M93417
Bug,EW-638,819175,"""player.offlineDialog.title"" displayed on internet change and do not close player if watching and not buffering",2023-02-23 08:55,Web,,error-message,,,,,Done,3 - Medium,,M86720
Bug,EW-637,819167,Playback terminates when navigating away from synopsis while PIP is activated,2023-02-23 08:34,Web,,dockable,PIP,,,,Done,3 - Medium,,M88508
Bug,EW-636,819109,Content row slider resizing,2023-02-22 15:46,,,,,,,,Done,None,,M88508
Bug,EW-635,818955,Mobile responsivness,2023-02-22 10:12,Web,,,,,,,Done,None,,M94083
Bug,EW-634,818954,Device managment Safari error,2023-02-22 10:12,Web,,,,,,,Done,None,,M88508
Bug,EW-633,818952,Player and Synopsis design fix,2023-02-22 10:10,Web,,,,,,,Done,None,,M94083
Bug,EW-632,818951,Content design fixes,2023-02-22 10:09,Web,,,,,,,Done,None,,M94083
Bug,EW-631,818950,Login design fixes,2023-02-22 10:04,Web,,,,,,,Done,None,,M94083
Bug,EW-630,818799,Search: live content result /ikke-fundet,2023-02-21 13:49,,,,,,,,Done,None,,M86720
Bug,EW-629,818792,Entering EPG synopsis from open universe does not navigate user to it after login,2023-02-21 13:34,Web,,EPG,Login,,,,Done,3 - Medium,,M88508
Bug,EW-628,818790,Clicking any EPG Live event starts playback,2023-02-21 13:27,Web,,EPG,Live-TV,,,,Won't fix,3 - Medium,,M88508
Bug,EW-627,818754,App crash during PIP playback,2023-02-21 12:21,Web,,Crash,,,,,Done,3 - Medium,,M88508
Bug,EW-626,818747,Long loading times and failed calls towards blockbuster,2023-02-21 12:12,Web,,Rental,,,,,Won't fix,3 - Medium,,M86720
Bug,EW-625,818693,TV2 ude upsale triggered when using recordings,2023-02-21 10:59,Web,,recording,tv2ude,,,,Done,2 - High,,M86720
Bug,EW-624,818657,Web: Squished resolution in fallback mode (both harmonic & velocix),2023-02-21 09:53,Web,,fallback,,,,,Won't fix,3 - Medium,,
Bug,EW-616,816779,Progress bar and backdrop not updating on live program change,2023-02-13 10:04,Web,,Chromecast,Player,progressbar,,,Done,3 - Medium,,M93417
Bug,EW-615,816766,Missing connected device name on CC connection,2023-02-13 09:44,Web,,Chromecast-sender,,,,,Done,4 - Low,,M93417
Bug,EW-614,816692,Error message contains a todo,2023-02-13 07:18,Web,,error-message,,,,,Done,4 - Low,,M94083
Bug,EW-613,816277,not able to set recordings on future content,2023-02-09 12:35,Web,,nPVR,,,,,Done,2 - High,,M88508
Bug,EW-612,816276,Tabs on synopsis are scrolling with the page,2023-02-09 12:22,Web,,Synopsis-pages,,,,,Done,3 - Medium,,M94083
Bug,EW-611,816244,Channel sorting is not reflected in the SeTV (Channel picker) UI ,2023-02-09 10:56,Web,,channel_picker,channel_sorting,,,,Won't fix,4 - Low,,M94083
Bug,EW-610,816235,Not able to play content,2023-02-09 10:29,Web,,Playback,,,,,Done,2 - High,,M93417
Bug,EW-609,816215,Binge menu is not visible unless player controls are visible,2023-02-09 10:02,Web,,binge-watching,PlayerControls,,,,Done,3 - Medium,,M93417
Bug,EW-608,816200,Player menu colour checkmark is black but should be white,2023-02-09 09:22,Web,,PlayerControls,,,,,Done,4 - Low,,M94083
Bug,EW-607,816196,"Conviva sessions get wrong status ""EVBS"" ",2023-02-09 09:09,Web,,Conviva,,,,,Done,2 - High,,M94083
Bug,EW-606,816170,Wrong asset ID on concurrency,2023-02-09 07:56,Web,,Concurrency,,,,,Done,3 - Medium,,M88508
Bug,EW-605,816162,Device management list empty on first trigger,2023-02-09 07:38,Web,,Device-management,,,,,Done,3 - Medium,,M88508
Bug,EW-603,815403,STV - EPG - you can't see what is playing live when you open the tv-guide,2023-02-07 12:40,Smart TV,,,,,,,Done,2 - High,,A72562
Bug,EW-602,815402,STV - Live programs are not updating on the tv main page,2023-02-07 12:32,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-601,815400,STV - Player - Timeline is not updating when new live program is starting,2023-02-07 12:29,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-600,815370,Smart TV: EPG is moving backwards when navigating through the data,2023-02-07 11:31,Smart TV,,,,,,,To Do,3 - Medium,,
Bug,EW-599,815093,Smart TV: Promoview on all main pages has the wrong format and color,2023-02-06 14:44,Smart TV,,,,,,,Done,4 - Low,,
Bug,EW-598,815087,STV - Navigation - Can't navigate from the menu to the live tv row,2023-02-06 14:36,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-596,813933,Episode -  Progress bar time not change,2023-02-01 14:20,Web,,progressbar,,,,,Done,2 - High,,M93417
Bug,EW-595,813798,EPG not loading data in FF,2023-02-01 10:28,Web,,EPG,,,,,Done,3 - Medium,,M88508
Bug,EW-594,813770,Lockin page background video not playing,2023-02-01 09:22,Web,,login-page,,,,,Done,4 - Low,,M88508
Bug,EW-593,812977,CC: Chromecast new player afspiller disappears on episode cell when controller open,2023-01-27 14:32,Chromecast Receiver,,Chromecast,NewPlayer,series,,,To Do,3 - Medium,,M93417
Bug,EW-591,813562,Message - Focus is missing on action buttons,2023-01-31 12:44,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-590,813558,Login page - Font size is too small,2023-01-31 12:37,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-589,813554,Login page - error message when entering wrong username or password,2023-01-31 12:15,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-587,812300,Channelshop: user can enter mix with blockingOrderId,2023-01-25 10:45,Channelshop,,,,,,,Done,3 - Medium,,M88508
Bug,EW-585,811455,Velocix on Samsung 19,2023-01-23 11:01,Smart TV,,,,,,,Done,1 - Critical,,M88508
Bug,EW-584,811127,Merge app design fixes,2023-01-20 13:46,Web,,,,,,,Done,None,,M86720
Bug,EW-577,809894,In-housing - subtitles on vod is cut off,2023-01-16 14:50,Smart TV,,,,,,,Done,1 - Critical,,A72562
Bug,EW-576,808602,CC: Chromecast Stream sending 0 time progressbar after getting concurrency message ,2023-01-11 14:41,Chromecast Receiver,,Chromecast,progressbar,,,,To Do,3 - Medium,,M93417
Bug,EW-575,808598,Channelshop new design - logos not showing in footer part,2023-01-11 14:31,Web,,ChannelShop,logos,,,,Done,3 - Medium,,M94083
Bug,EW-572,761994,The logo when within the channel info card is shown wrongly if tile is colored,2022-09-06 21:46,Channelshop,,BS3.0_Defect,ChannelShop,,,,Done,4 - Low,,M88508
Bug,EW-569,803788,BS 3.0 - Not able to remove channel from particular user ,2022-12-21 13:56,Web,,bland_selv_3.0,,,,,Won't fix,3 - Medium,,M88508
Bug,EW-567,803777,Channel shop: Mine valgte() go down when select 'Underholdning',2022-12-21 13:38,Channelshop,,,,,,,To Do,4 - Low,,
Bug,EW-566,803474,CC: iOS casting new series playback stream not showing in cinema,2022-12-20 13:24,Chromecast Receiver,,Chromecast,Film,ios,NewSynopsis,series,To Do,3 - Medium,,
Bug,EW-564,803149,Not prompting e-mail when adding 3rd party services in the shop as 2.0 customer without e-mail,2022-12-19 12:51,,,,,,,,Done,None,,M88508
Bug,EW-563,803145,Not going to channel shop from kanaler page. ,2022-12-19 12:39,Web,,ChannelShop,,,,,Done,3 - Medium,,M88508
Bug,EW-561,802904,Big white round recording icon is displayed in the recording content synopsis,2022-12-18 11:55,Web,,nPVR,,,,,Done,3 - Medium,,M88508
Bug,EW-560,802903,Recorded content is not playable.,2022-12-18 11:51,Web,,nPVR,,,,,Done,2 - High,,M86720
Bug,EW-559,802902,Start-Over on live tv is not sending playback to the beginning. ,2022-12-18 11:20,Web,,startforfra,StartOver,,,,Done,2 - High,,M88508
Bug,EW-558,802900,The TV archive synopsis is not scrolling until played or refresh page. ,2022-12-18 10:56,Web,,Synopsis,Synopsis-pages,,,,Done,2 - High,,M88508
Bug,EW-557,802863,Error message appear on opening page links. ,2022-12-16 22:48,Web,,pagelink,,,,,Done,3 - Medium,,M88508
Bug,EW-556,802839,The channel sorting does not applies to Se TV.,2022-12-16 17:02,Web,,channel_sorting,,,,,Done,3 - Medium,,M88508
Bug,EW-555,802830,No playback on Chrome cast. ,2022-12-16 16:31,Web,,Chromecast,,,,,Done,2 - High,,M88508
Bug,EW-554,802736,Web is going to full screen while typing F after the user has used F inside the player,2022-12-16 10:59,Web,,Fullscreen,search,,,,Done,3 - Medium,,M88508
Bug,EW-553,802714,On playing YouSee Premiere from kanaler an error occurred. ,2022-12-16 10:41,Web,,Playback,,,,,Done,3 - Medium,,M86720
Bug,EW-550,802531,Play content and change the browser size you can see webpage parts are relocated. ,2022-12-15 14:11,Web,,responsive,,,,,Done,2 - High,,M88508
Bug,EW-549,802522,No Pop-up synopsis on hovering on container in Tv guide. ,2022-12-15 13:55,,,,,,,,Won't fix,None,,
Bug,EW-548,802513,In TV guide user cannot change date seven days back. ,2022-12-15 13:45,Web,,EPG,,,,,Done,2 - High,,M88508
Bug,EW-547,802511,No able to click on channels to get extra info,2022-12-15 13:41,Channelshop,,,,,,,Done,None,,M88508
Bug,EW-546,802507,"No pop up when clicking on ""Du kan ikke skifte pakke""",2022-12-15 13:32,Channelshop,,,,,,,Done,None,,M88508
Bug,EW-545,802499,The favorite icon is giving an error in TV Channel synopsis.,2022-12-15 13:13,Web,,favorit,,,,,Done,3 - Medium,,M88508
Bug,EW-544,802479,Binge watch pop up appears but it are not going to next episode. ,2022-12-15 12:49,Web,,binge-watching,,,,,Done,3 - Medium,,M93417
Bug,EW-543,802473,"Live program change to next program, but progress bar and meta data is not updated. ",2022-12-15 12:43,Web,,meta-data,,,,,Done,3 - Medium,,M93417
Bug,EW-542,802464,After entering full-screen while playback and user click on the x icon. It does not exit full-screen. ,2022-12-15 12:07,Web,,PlayerControls,,,,,Done,2 - High,,M88508
Bug,EW-541,802443,In Player the control and channel log do not disappear.,2022-12-15 11:22,Web,,PlayerControls,,,,,Done,2 - High,,M88508
Bug,EW-540,802428,Web: In player volume cannot be control with up and down arrow keys and green filler is always to the max.. ,2022-12-15 11:04,Web,,PlayerControls,volumes,,,,On hold,4 - Low,,M93417
Bug,EW-539,802403,"There is no conviva tracking (touchstone, pulse) for new web app ",2022-12-15 10:54,Web,,Conviva,conviva-touchstone,,,,Done,3 - Medium,,M88508
Bug,EW-538,802355,No Device management list is displayed ,2022-12-15 10:35,Web,,Device-management,,,,,Done,2 - High,,M88508
Bug,EW-537,802323,No fallback on new web app.,2022-12-15 09:57,Web,,fallback,,,,,Done,1 - Critical,,M88508
Bug,EW-536,802214,The user can scrub in channels with limited scrubbing TV3 / TV2 (10 min) ,2022-12-14 21:11,Web,,Scrubbing-Rights,,,,,Done,3 - Medium,,M88508
Bug,EW-534,802193,"On exceeding, the maximum allowed concurrent streams no message appears.  ",2022-12-14 16:49,Web,,Concurrency,,,,,Done,3 - Medium,,M88508
Bug,EW-533,802152,One screen Concurrency fails ,2022-12-14 15:10,Web,,Concurrency,,,,,Done,3 - Medium,,M88508
Bug,EW-532,802147,Live channel picker icon is missing.   ,2022-12-14 14:58,Web,,channel_picker,,,,,Done,3 - Medium,,M88508
Bug,EW-531,802135,"On Husk Mig unchecked, the user is still remember and logged in  ",2022-12-14 14:24,Web,,login-page,,,,,Done,3 - Medium,,M88508
Bug,EW-525,801523,adding favorite of live Tv asset is returning 400,2022-12-12 12:13,,,,,,,,Done,None,,M88508
